BookID,Title,Author,Genre,Year,Copies
1900001,Golden between Darkness,Suresh Pawar,Horror,1931,29
1900002,Midnight from Chronicle,Leo ConanDoyle,Young,1912,20
1900003,Ancient over Fate,Amit Dostoevsky,Education,1990,86
2000004,Burning and Kingdom,Ray Das,Economics,2023,94
1900005,Broken under Mirror,Emily Steinbeck,Programming,1949,91
1900006,Lonely of Myth,Manoj Gaiman,Horror,1989,17
2000007,Cursed beyond Secrets,Leo Bose,Psychology,2009,50
1900008,Silent under Echoes,Kurt Tolstoy,Business,1921,26
1900009,Midnight to Shadows,Oscar Dickens,Education,1982,71
2000010,Fallen in Power,Arjun Kulkarni,Biology,2000,77
1900011,Burning between Blood,Kavita Das,Non-Fiction,1950,68
2000012,Hollow in Darkness,Margaret Khanna,Mystery,2000,17
1900013,Wandering between Storm,Priya Kafka,Mathematics,1924,85
1900014,Shattered within Horizon,Deepak Borges,Education,1954,98
1900015,Fading beyond Silence,Toni Joyce,Psychology,1999,31
1900016,Forgotten beyond Light,Toni Christie,Education,1927,21
1900017,Crimson and Ashes,Rahul Shetty,Mystery,1998,4
1900018,Distant and Fate,Vikas Ghosh,Fiction,1931,90
1900019,Fading beyond Fire,John Pillai,Non-Fiction,1902,89
1900020,Distant of Hope,Mark Shetty,Poetry,1944,44
1900021,Hollow of Worlds,Aldous Christie,Adventure,1986,86
1900022,Hidden beyond Storm,Vikas Kapoor,Horror,1953,18
1900023,Final to Echoes,Mark Huxley,Biology,1985,40
1900024,Unseen over Worlds,Leo Singh,Children,1979,11
1900025,Restless between Mirror,Ashok Bronte,Drama,1996,5
1900026,Rising of Shadows,Amit Murakami,Education,1987,70
2000027,Dark in Dreams,Neha Kumar,Horror,2015,69
1900028,Fallen between Legacy,Shreya Melville,Sociology,1912,34
1900029,Eternal in Light,Manoj Khanna,Horror,1957,58
1900030,Hollow within Power,Stephen Rao,Non-Fiction,1948,50
1900031,Cursed in Mirror,Margaret Steinbeck,Adventure,1952,52
1900032,Golden over Echoes,Fyodor Pawar,Mystery,1944,44
1900033,Fallen over Echoes,Shreya Dickens,Self Help,1990,61
1900034,Distant to Truth,Anand Shakespeare,Physics,1945,50
1900035,Fallen from Mirror,Franz Tolstoy,Technology,1957,13
1900036,Golden beyond Memory,Haruki Pillai,Historical,1968,63
1900037,Twisted beyond Ashes,Agatha Shetty,Poetry,1914,18
1900038,Lost in Fire,Franz Gupta,Programming,1908,13
2000039,Lonely from Worlds,William Dickens,Biography,2007,64
1900040,Cursed to Darkness,Stephen Wilde,Psychology,1951,25
1900041,Cursed in Fate,Agatha Joyce,Romance,1992,48
1900042,Forgotten under Blood,George Huxley,Fiction,1966,40
2000043,Silent over Stars,Emily Marquez,Business,2027,4
1900044,Restless beyond Storm,Anand Atwood,Technology,1923,23
1900045,Hidden between Light,Neil Borges,Philosophy,1933,96
1900046,Silent from Empire,Rohan Kulkarni,Psychology,1930,15
2000047,Golden between Storm,Margaret Orwell,Programming,2007,18
1900048,Eternal between Horizon,Haruki Murakami,Self Help,1995,1
2000049,Infinite and Path,Prakash Gaiman,Poetry,2019,23
1900050,Cursed of Shadows,James Reddy,Young,1946,74
2000051,Twisted under Storm,Rahul Melville,Poetry,2015,46
1900052,Infinite within Echoes,Oscar Gaiman,Education,1964,91
1900053,Hidden of Darkness,Charles Hemingway,Philosophy,1969,11
1900054,Rising from Kingdom,Isaac Kumar,Programming,1975,9
1900055,Silent of Kingdom,Aldous LeGuin,Chemistry,1935,12
1900056,Lost in Kingdom,Manoj Khanna,Business,1951,8
1900057,Lonely of Mirror,Deepak Nair,Philosophy,1955,92
1900058,Twisted to Ashes,Vivek Pawar,Education,1922,63
1900059,Lost between Darkness,Amit Chatterjee,Historical,1971,28
2000060,Dark and Legacy,Isaac Iyengar,Mystery,2025,26
1900061,Fallen between Fire,Arthur LeGuin,Chemistry,1971,92
2000062,Infinite over Darkness,Shreya Dostoevsky,Adventure,2015,33
2000063,Forgotten of Truth,Ursula Mukherjee,Sociology,2027,89
1900064,Ancient of Worlds,Neha Orwell,Sociology,1941,31
1900065,Dark over Time,Vikas Orwell,Autobiography,1947,81
1900066,Fallen beyond Myth,Sunil Marquez,Physics,1920,3
1900067,Secret beyond Empire,Sunil Sharma,Drama,1940,49
1900068,Dark of Secrets,Oscar Woolf,Biography,1913,36
2000069,Timeless from Light,Ananya Wilde,Non-Fiction,2016,56
2000070,Final of Ashes,Mark Austen,Biography,2012,77
2000071,Sacred from Memory,Sunil Das,Biology,2009,78
1900072,Final between Legacy,Leo Rao,Poetry,1967,37
2000073,Sacred under Journey,Priya Mehta,Mystery,2003,29
1900074,Fallen to Ashes,Jane Sharma,Horror,1974,11
1900075,Restless under Dreams,Ananya Kapoor,Children,1967,64
1900076,Fading between Time,Isaac ConanDoyle,Drama,1947,49
1900077,Silent beyond Echoes,Virginia Atwood,Economics,1929,68
1900078,Ancient between Storm,Rajesh Twain,Autobiography,1936,80
1900079,Eternal of Darkness,Anita Bronte,Fantasy,1997,21
2000080,Hollow from Power,Ravi Patel,Romance,2026,10
2000081,Forgotten beyond Time,Oscar Das,Historical,2013,61
1900082,Ancient in Hope,Ashok Borges,Non-Fiction,1984,14
1900083,Burning within Chronicle,Amit Verma,Drama,1973,44
1900084,Distant over Fire,Ananya Naidu,Mystery,1933,74
1900085,Unseen under Stars,Aarav Shakespeare,Psychology,1915,11
2000086,Wandering under Path,Charles Orwell,Young,2009,63
1900087,Twisted between Power,Margaret Pawar,Drama,1968,16
1900088,Golden between Empire,Toni Chatterjee,Philosophy,1988,50
1900089,Burning from Voices,Prakash Verma,Economics,1994,15
1900090,Eternal from Blood,Kurt Melville,Philosophy,1981,60
2000091,Eternal in Ashes,Kiran Bronte,Psychology,2000,6
1900092,Twisted within Hope,Meera Patel,Chemistry,1935,2
1900093,Dark of Truth,Mark Bronte,Mathematics,1923,17
1900094,Wandering from Hope,Anand Hemingway,Biography,1940,97
1900095,Midnight to Night,Franz LeGuin,Young,1907,6
1900096,Rising of Shadows,Pooja Menon,Drama,1980,77
1900097,Frozen from Power,Vikas Deshmukh,Fantasy,1956,85
1900098,Midnight over Blood,Shreya Shakespeare,Young,1996,13
1900099,Secret between Horizon,Vivek Steinbeck,Self Help,1973,56
2000100,Silent under Secrets,Anita Vonnegut,Economics,2014,77
1900101,Midnight between Night,Rohan Patel,Mathematics,1908,3
1900102,Midnight under Ashes,Anand King,Psychology,1950,37
1900103,Broken in Ashes,Ravi Hemingway,Business,1924,19
2000104,Shattered over Shadows,Ishaan Deshmukh,Programming,2002,56
1900105,Fallen in Darkness,Manoj Bose,Business,1917,42
1900106,Hidden and Chronicle,Leo Joyce,Technology,1931,86
1900107,Distant under Ashes,Fyodor Wilde,Non-Fiction,1934,45
1900108,Eternal to Night,Jane Wilde,Fantasy,1977,91
1900109,Midnight within Myth,Priya Mukherjee,Mathematics,1943,32
2000110,Silent between Fire,Aldous Tolstoy,Thriller,2009,58
1900111,Lost beyond Darkness,Vikas Khanna,Technology,1999,68
1900112,Lonely under Darkness,Emily Pillai,Technology,1922,74
2000113,Shattered and Ashes,Isaac Huxley,Adventure,2015,47
1900114,Fading under Myth,Pooja Singh,Poetry,1943,73
1900115,Forgotten and Empire,Neil Atwood,Technology,1930,77
2000116,Crimson within Power,Toni Reddy,Science Fiction,2014,21
1900117,Distant over Darkness,Vikas Austen,Economics,1982,20
1900118,Fallen of Secrets,Paulo Murakami,Thriller,1953,77
1900119,Broken over Hope,Herman Kafka,Biology,1991,80
1900120,Golden and Mirror,Leo Steinbeck,Economics,1995,31
2000121,Hidden and Kingdom,Mahesh Verma,Autobiography,2015,3
1900122,Unseen from Power, Malhotra,Biography,1939,93
2000123,Hollow under Power,Aarav Steinbeck,Education,2008,5
1900124,Lonely and Secrets,Suresh Melville,Science Fiction,1932,26
1900125,Burning and Empire,Suresh Orwell,Self Help,1976,99
2000126,Distant between Power,Haruki Woolf,Horror,2005,36
2000127,Infinite over Dreams,William Wilde,Technology,2006,99
1900128,Lost between Darkness,Sunil Patel,Thriller,1967,44
1900129,Unseen between Truth,Aldous King,Young,1927,1
1900130,Eternal between Empire,Shreya Menon,Biology,1946,39
1900131,Secret under Darkness,Sanjay Coelho,Economics,1958,63
1900132,Forgotten beyond Darkness,Aarav Murakami,Business,1922,14
2000133,Rising of Light,Ray Melville,Biology,2000,54
2000134,Rising between Secrets,Gabriel Singh,Horror,2006,22
1900135,Unseen from Chronicle,Sunil Wilde,Mathematics,1904,53
1900136,Forgotten over Ashes,Kiran Borges,Non-Fiction,1959,48
2000137,Hidden under Time, Mehta,Adventure,2021,52
1900138,Rising over Myth,Jane Vonnegut,Psychology,1995,92
1900139,Fallen to Dreams,James Singh,Poetry,1957,41
1900140,Silent within Hope,George Orwell,Fantasy,1918,45
2000141,Fallen from Light,Herman Vonnegut,Poetry,2008,47
1900142,Shattered from Voices,Paulo Coelho,Non-Fiction,1920,75
1900143,Crimson from Hope,Toni Verma,Biography,1918,55
1900144,Fading between Stars,Mark Woolf,Autobiography,1971,59
1900145,Cursed to Voices,Kiran Mukherjee,Economics,1929,77
1900146,Forgotten under Chronicle,Sanjay Kulkarni,Young,1989,49
1900147,Rising within Silence,Leo Dickens,Fiction,1919,74
1900148,Lonely from Power,Aditya Shetty,Education,1982,96
1900149,Infinite over Echoes,William Singh,Historical,1949,96
1900150,Timeless over Fire,Deepak Huxley,Mathematics,1969,47
1900151,Hollow between Horizon,Fyodor Vonnegut,Science Fiction,1907,100
2000152,Lonely and Echoes,Anand ConanDoyle,Drama,2005,81
1900153,Sacred in Memory,Neil Dickens,Politics,1922,50
1900154,Distant and Power,Jane Tolstoy,Self Help,1958,89
2000155,Forgotten under Power,Rohan Iyengar,Children,2023,83
1900156,Lonely over Mirror,Ursula Borges,Economics,1921,58
1900157,Wandering between Voices,Aditya Steinbeck,Philosophy,1903,33
1900158,Frozen and Fire, King,Sociology,1993,47
1900159,Final of Chronicle,Herman Bose,Mystery,1977,96
1900160,Twisted under Secrets,Anita Huxley,Non-Fiction,1929,94
2000161,Eternal from Mirror,Vikas Murakami,Fiction,2014,62
1900162,Hidden to Dreams,Deepak Kapoor,Children,1933,45
1900163,Shattered over Mirror,Charles Orwell,Children,1929,35
1900164,Fading from Power,Aditya Sharma,Science Fiction,1925,75
1900165,Cursed of Storm,James Iyengar,Sociology,1946,72
1900166,Unseen and Kingdom,Prakash Dostoevsky,Young,1959,62
1900167,Rising beyond Truth,Fyodor Asimov,Psychology,1985,75
1900168,Secret beyond Night,Anand Malhotra,Biography,1998,71
1900169,Restless between Stars,Neha Shetty,Mystery,1963,53
1900170,Final in Secrets,Stephen ConanDoyle,Thriller,1943,27
1900171,Rising and Voices,George Bhat,Economics,1941,18
1900172,Frozen and Night,Nikhil Bronte,Non-Fiction,1928,39
1900173,Rising of Light,Jane Mehta,Young,1901,79
1900174,Golden from Legacy,Priya Singh,Psychology,1960,28
1900175,Cursed to Chronicle,Amit Christie,Young,1916,46
1900176,Rising in Time,Neil Rao,Psychology,1952,59
1900177,Crimson and Shadows,Mahesh Joyce,Fiction,1913,47
2000178,Sacred over Fire,Pooja Singh,Thriller,2020,1
1900179,Secret over Fate,James Tolstoy,Thriller,1976,100
1900180,Cursed between Empire,George Morrison,Mystery,1994,27
1900181,Twisted to Kingdom,Ashok Das,Romance,1976,5
1900182,Lonely beyond Time,James Borges,Fiction,1962,38
2000183,Timeless over Secrets,Neil Rao,Fantasy,2003,72
1900184,Ancient within Path,Ananya Asimov,Self Help,1922,94
2000185,Broken of Mirror,Mark Vonnegut,Romance,2004,53
1900186,Sacred to Time,Stephen Shetty,Thriller,1940,46
1900187,Cursed of Secrets,Jane Atwood,Mathematics,1953,37
1900188,Restless between Path,William Patel,Mystery,1929,30
1900189,Fallen in Dreams,George Rao,Science Fiction,1993,46
1900190,Infinite of Blood,Deepak Bhat,Romance,1933,26
1900191,Fading between Silence,Leo Bose,Adventure,1975,29
1900192,Infinite of Echoes,Toni Nair,Romance,1903,93
1900193,Eternal in Path,Aditya Austen,Physics,1998,26
1900194,Eternal in Dreams,Oscar Atwood,Science Fiction,1988,26
1900195,Silent within Path,Charles Vonnegut,Fiction,1917,30
1900196,Hollow from Storm,Oscar Coelho,Fantasy,1925,92
1900197,Unseen between Empire,Kurt Kulkarni,Drama,1902,19
1900198,Silent from Myth,Ananya Bronte,Fantasy,1967,50
1900199,Fading beyond Storm, Dickens,Economics,1946,13
2000200,Golden and Silence,Ray Iyer,Fiction,2023,91
1900201,Hollow under Truth,Neil Twain,Economics,1907,74
1900202,Sacred beyond Silence,Deepak Kulkarni,Children,1937,54
1900203,Twisted in Darkness,Aditya Iyer,Mathematics,1919,66
1900204,Secret to Fire,Neha Iyer,Non-Fiction,1912,37
1900205,Golden beyond Hope,Rajesh Pillai,Horror,1909,23
1900206,Midnight in Fire,Franz Melville,Young,1903,81
2000207,Hollow between Kingdom,Rahul Verma,Biography,2021,69
2000208,Eternal and Voices,Neha Kapoor,Technology,2022,4
2000209,Lost within Journey,Shreya Kafka,Adventure,2000,53
1900210,Lonely between Path, Khanna,Technology,1946,61
1900211,Lonely to Fire,Prakash Gupta,Young,1999,49
1900212,Eternal within Power,Vikas Bradbury,Autobiography,1957,78
1900213,Sacred and Night,Vikas Woolf,Politics,1965,74
1900214,Twisted within Echoes,Aarav Patel,Physics,1962,8
1900215,Unseen under Worlds,Nikhil Sharma,Non-Fiction,1930,24
1900216,Final in Memory,Ray Vonnegut,Philosophy,1904,68
1900217,Burning in Fire,Vikas Gupta,Fiction,1911,40
1900218,Fallen beyond Empire,Ray Christie,Politics,1920,59
1900219,Restless under Empire,Toni Bradbury,Self Help,1953,64
1900220,Wandering under Horizon,Suresh Chatterjee,Drama,1992,70
2000221,Wandering of Darkness,Shreya Kulkarni,Mystery,2021,68
1900222,Timeless to Memory,Fyodor Wilde,Chemistry,1985,2
1900223,Secret within Light,Pooja Asimov,Education,1908,58
1900224,Silent between Shadows,Ursula Bhat,Young,1917,99
1900225,Hollow over Blood,Nikhil Nair,Science Fiction,1909,90
2000226,Cursed in Path,Arjun Asimov,Sociology,2013,12
1900227,Twisted to Horizon,Sunil Deshmukh,Autobiography,1953,13
1900228,Shattered from Path,Anita Reddy,Mystery,1954,25
1900229,Fallen over Hope,Nikhil ConanDoyle,Young,1901,57
1900230,Lost to Mirror,Stephen Ghosh,Fiction,1936,19
1900231,Hidden of Journey,Deepak ConanDoyle,Self Help,1942,63
1900232,Lost within Worlds,Franz Bradbury,Psychology,1937,34
2000233,Crimson in Memory,Rahul Asimov,Thriller,2007,11
2000234,Fallen under Power,Ursula Morrison,Horror,2004,69
1900235,Midnight from Kingdom,Aldous Murakami,Mathematics,1921,86
1900236,Hollow in Storm,Oscar Wilde,Non-Fiction,1904,35
1900237,Secret between Ashes,Aditya Kafka,Science Fiction,1935,74
1900238,Burning between Night,Jorge Dostoevsky,Science Fiction,1910,63
2000239,Ancient between Empire,Nikhil Bradbury,Physics,2011,20
1900240,Frozen from Power,Prakash Das,Mathematics,1960,88
1900241,Forgotten over Memory,Ursula Orwell,Non-Fiction,1967,59
1900242,Broken to Fate,Arjun Pawar,Biography,1923,57
2000243,Distant over Memory,Neha Iyer,Education,2024,51
1900244,Frozen over Journey,Stephen Vonnegut,Romance,1902,9
1900245,Twisted within Light,Amit LeGuin,Horror,1948,98
2000246,Fallen to Night,Emily Pillai,Biography,2002,22
1900247,Lonely of Chronicle,Arjun Dostoevsky,Economics,1971,87
1900248,Twisted over Myth,Jorge Austen,Children,1983,97
1900249,Restless and Shadows,Ashok Shakespeare,Sociology,1928,75
1900250,Lonely from Time,Anita Reddy,Non-Fiction,1927,24
1900251,Broken of Memory,Margaret Borges,Poetry,1933,58
2000252,Fallen from Night,Manoj Gaiman,Programming,2015,74
2000253,Wandering to Memory,Toni Steinbeck,Mathematics,2022,30
1900254,Hidden and Blood,Aarav King,Mathematics,1925,37
1900255,Final under Secrets,Gabriel Nair,Programming,1933,79
2000256,Rising under Power,Ananya Menon,Psychology,2006,78
1900257,Rising over Hope, Kapoor,Mathematics,1907,18
1900258,Dark and Power,Oscar Verma,Historical,1918,66
1900259,Ancient over Night,Meera Gupta,Poetry,1944,81
1900260,Hidden in Power,Neil Twain,Fantasy,1919,38
1900261,Golden of Ashes,Sunil Kulkarni,Historical,1974,84
2000262,Sacred between Fire,Herman LeGuin,Autobiography,2025,95
2000263,Fading from Mirror,Ravi Melville,Biology,2007,21
1900264,Midnight from Ashes,William Marquez,Chemistry,1902,66
1900265,Hidden to Journey,Virginia Kafka,Programming,1917,60
1900266,Restless beyond Silence,Kiran Rao,Mathematics,1927,31
1900267,Lonely over Memory,Manoj LeGuin,Non-Fiction,1978,39
1900268,Ancient under Stars,Leo Mehta,Adventure,1931,93
2000269,Restless between Secrets,Gabriel Shetty,Self Help,2013,94
2000270,Forgotten over Voices,Mark Menon,Technology,2014,68
1900271,Forgotten under Fire,Fyodor Atwood,Thriller,1919,26
1900272,Unseen from Journey,Mahesh Das,Chemistry,1922,77
1900273,Crimson from Silence,Ernest King,Philosophy,1972,26
1900274,Forgotten in Darkness,Jorge Tolstoy,Children,1985,16
1900275,Burning of Shadows,Gabriel Das,Biology,1955,100
1900276,Crimson to Ashes,Ashok Coelho,Politics,1988,52
1900277,Lonely between Kingdom,Gabriel Gaiman,Biology,1961,75
1900278,Restless over Kingdom,Aarav Deshmukh,Historical,1988,76
1900279,Fading of Night,Aditya Menon,Biology,1908,23
1900280,Silent under Kingdom,William Bose,Children,1938,79
1900281,Restless over Empire,Ursula Joshi,Education,1961,54
1900282,Final from Ashes,Rahul Wilde,Science Fiction,1992,100
1900283,Final from Myth,Isaac Bronte,Young,1920,84
2000284,Fallen beyond Blood,Mahesh Sharma,Business,2025,70
2000285,Fading from Ashes,Aldous Singh,Chemistry,2023,59
1900286,Final under Echoes,Priya Chatterjee,Horror,1912,28
1900287,Secret over Fate,Manoj Woolf,Poetry,1956,55
1900288,Hollow beyond Secrets,Aldous Bronte,Drama,1946,24
2000289,Forgotten in Journey,Priya Mehta,Education,2022,38
1900290,Twisted under Silence,Anita Shetty,Chemistry,1984,16
1900291,Sacred of Mirror,Kurt Coelho,Romance,1919,28
1900292,Hollow over Storm,Ray Iyengar,Mystery,1976,59
2000293,Crimson and Myth,Toni Marquez,Science Fiction,2027,95
2000294,Midnight beyond Journey, Melville,Chemistry,2008,75
1900295,Fading in Storm,Pooja Singh,Chemistry,1918,51
1900296,Silent over Empire,Aditya Marquez,Biography,1950,13
1900297,Secret in Path,Herman LeGuin,Biography,1920,17
1900298,Fallen from Blood,Amit King,Philosophy,1987,6
1900299,Distant in Dreams,Vivek Shakespeare,Programming,1998,19
1900300,Fallen in Journey,Ravi Atwood,Business,1902,43
1900301,Broken of Empire,Toni Joyce,Economics,1918,82
1900302,Lost and Horizon,Aldous Kapoor,Poetry,1990,25
1900303,Eternal in Light,Amit King,Non-Fiction,1904,21
1900304,Distant beyond Echoes,Arjun Kafka,Politics,1942,29
1900305,Dark between Journey,Kiran Joyce,Biography,1921,48
1900306,Timeless from Storm,Ishaan Pillai,Horror,1905,4
1900307,Hidden in Path,Aldous Hemingway,Biography,1950,93
1900308,Hidden of Journey,Emily Chatterjee,Fiction,1995,67
1900309,Hidden beyond Stars,Prakash Tolstoy,Biography,1904,68
1900310,Fallen to Empire,Emily Singh,Sociology,1949,67
2000311,Silent from Legacy,Aarav Rao,Self Help,2024,27
1900312,Midnight beyond Dreams,Rahul Orwell,Self Help,1926,8
1900313,Ancient under Secrets,Priya Reddy,Fantasy,1912,5
2000314,Unseen of Kingdom,Aditya Hemingway,Philosophy,2023,89
1900315,Forgotten over Shadows,Ursula ConanDoyle,Horror,1950,3
1900316,Golden from Darkness,Fyodor Deshmukh,Politics,1931,22
1900317,Ancient over Stars,Ray Huxley,Sociology,1936,85
1900318,Lost of Night,Fyodor Asimov,Politics,1979,35
2000319,Cursed under Silence,Aarav Bose,Science Fiction,2005,48
2000320,Fading within Blood,Ravi Malhotra,Education,2024,67
1900321,Ancient over Time,Vikas Pawar,Fantasy,1908,46
1900322,Twisted over Chronicle,Fyodor Chatterjee,Sociology,1990,57
1900323,Lonely of Voices,Manoj Christie,Business,1912,84
1900324,Rising within Storm,James Bose,Physics,1903,84
1900325,Secret from Kingdom,Neil King,Fantasy,1962,17
1900326,Final over Secrets,Kiran Menon,Non-Fiction,1922,23
1900327,Fading from Legacy,Suresh Marquez,Adventure,1961,13
1900328,Crimson and Worlds,Franz Banerjee,Physics,1981,73
1900329,Shattered under Shadows,Charles Pillai,Chemistry,1922,78
1900330,Forgotten within Journey,Shreya Mehta,Historical,1963,89
2000331,Restless over Secrets,Ashok Shetty,Business,2013,92
1900332,Dark under Silence,Neha Chatterjee,Non-Fiction,1974,13
1900333,Infinite of Power,Aditya Reddy,Chemistry,1937,29
